"cve_sun","nom_ciudad","municipio_cvegeo"
"","","07116"
"","","14035"
"","","14036"
"","","14037"
"","","14038"
"21","Guadalajara","14039"
"","","14040"
"","","14041"
"","","14042"
"","","07117"
"","","14046"
"","","14047"
"","","14048"
"","","14049"
"","","14050"
"21","Guadalajara","14051"
"","","14052"
"","","14053"
"","","14054"
"","","14055"
"","","14056"
"","","14057"
"","","14058"
"","","14059"
"","","14060"
"","","14061"
"","","14062"
"23","Ocotlán","14063"
"","","14064"
"","","14065"
"23","Ocotlán","14066"
"22","Puerto Vallarta","14067"
"","","14068"
"","","14069"
"21","Guadalajara","14070"
"","","14071"
"","","14072"
"","","14073"
"","","14074"
"","","07118"
"","","16113"
"","","17001"
"29","Cuautla","17002"
"","","17003"
"29","Cuautla","17004"
"12","Chihuahua","08004"
"","","08005"
"","","08006"
"","","08007"
"","","08008"
"","","08009"
"","","08010"
"","","08011"
"","","08012"
"","","08013"
"","","08014"
"","","08015"
"","","08016"
"","","08017"
"","","08053"
"","","08056"
"","","14117"
"","","14118"
"","","14119"
"21","Guadalajara","14120"
"","","14121"
"","","14122"
"","","14123"
"","","14124"
"13","Valle de México","15024"
"","","08057"
"","","17016"
"","","08060"
"","","15026"
"13","Valle de México","15035"
"13","Valle de México","09002"
"13","Valle de México","09006"
"13","Valle de México","09007"
"13","Valle de México","09008"
"13","Valle de México","15036"
"13","Valle de México","15037"
"13","Valle de México","15038"
"13","Valle de México","15039"
"","","15040"
"","","15041"
"","","15042"
"58","Tianguistenco","15043"
"","","16032"
"","","16033"
"13","Valle de México","09009"
"13","Valle de México","09012"
"13","Valle de México","09013"
"13","Valle de México","09011"
"","","16018"
"","","16019"
"","","16020"
"","","16021"
"25","Morelia","16022"
"","","16059"
"13","Valle de México","09016"
"","","16034"
"","","16035"
"","","16036"
"","","16037"
"","","16038"
"","","16039"
"","","16040"
"","","16041"
"","","16042"
"26","Zamora-Jacona","16043"
"13","Valle de México","09017"
"","","10001"
"","","10002"
"","","10003"
"","","10004"
"","","10005"
"","","10006"
"","","10029"
"","","10030"
"","","10031"
"","","10036"
"","","18003"
"","","18004"
"","","10038"
"","","10039"
"","","11001"
"","","11002"
"","","11003"
"","","11004"
"","","11005"
"","","11006"
"57","Celaya","11007"
"","","11008"
"","","12005"
"","","12006"
"","","12007"
"","","12008"
"","","12009"
"","","12010"
"","","12011"
"","","12012"
"","","12013"
"","","12014"
"","","12015"
"","","12016"
"","","12017"
"","","12018"
"","","12019"
"","","12020"
"17","Acapulco","12021"
"","","12022"
"","","12023"
"","","16060"
"","","16061"
"","","16062"
"","","16063"
"","","12024"
"","","12025"
"","","12026"
"","","12027"
"","","12028"
"","","12029"
"","","12030"
"","","12031"
"","","12032"
"","","12033"
"","","12034"
"","","12035"
"","","12036"
"","","12037"
"","","12038"
"","","12039"
"","","12040"
"","","12041"
"","","12042"
"","","12043"
"","","12044"
"","","12045"
"","","12046"
"","","12047"
"","","12048"
"","","12065"
"","","12066"
"","","12067"
"","","12068"
"","","12069"
"","","12080"
"","","12081"
"","","13001"
"","","13002"
"","","13003"
"","","13004"
"","","13005"
"","","13006"
"","","13007"
"","","13008"
"","","13009"
"20","Tula","13010"
"","","13011"
"","","13012"
"20","Tula","13013"
"","","13014"
"","","13015"
"19","Tulancingo","13016"
"","","13017"
"","","13065"
"","","13066"
"","","13067"
"","","13068"
"","","16071"
"","","16072"
"","","16073"
"","","16074"
"","","16075"
"","","16076"
"","","16077"
"","","16078"
"","","16079"
"13","Valle de México","13069"
"20","Tula","13070"
"","","13071"
"","","13072"
"","","13073"
"20","Tula","13074"
"","","13075"
"20","Tula","13076"
"19","Tulancingo","13077"
"","","13078"
"","","13079"
"","","13080"
"","","13081"
"18","Pachuca","13082"
"18","Pachuca","13083"
"","","13084"
"","","14004"
"","","14005"
"","","14006"
"","","14007"
"","","14008"
"","","14009"
"","","14010"
"","","14011"
"","","14012"
"","","14013"
"","","14014"
"","","14015"
"","","14016"
"","","14017"
"","","14018"
"","","14019"
"","","14020"
"","","14021"
"","","14022"
"","","14089"
"","","14090"
"","","14091"
"","","14092"
"","","14093"
"","","14094"
"","","14095"
"","","14096"
"21","Guadalajara","14097"
"21","Guadalajara","14098"
"","","14099"
"","","14100"
"21","Guadalajara","14101"
"","","14102"
"","","14103"
"","","14104"
"","","14105"
"","","14106"
"","","14107"
"","","14108"
"","","14109"
"","","14110"
"","","14111"
"","","14125"
"13","Valle de México","15002"
"","","15003"
"","","15004"
"24","Toluca","15005"
"","","16086"
"","","16087"
"25","Morelia","16088"
"","","16089"
"","","16090"
"","","16091"
"","","16092"
"","","16093"
"","","16094"
"","","16095"
"","","16096"
